,新レシピID,旧レシピID,レシピ名,主菜・副菜
247,102272,2272,鮭と野菜の甘辛ねぎソース,主菜・主食
248,102329,2329,スモークサーモンとかぶの麹和え,副菜
249,102330,2330,スモークサーモンとほうれん草のフィットチーネ,主菜・主食
250,102331,2331,牡蠣のスモークサーモン巻ソテー,主菜・主食
251,102377,2377,きゅうりと薄焼き卵の酢の物,副菜
252,102405,2405,もやしの卵巻き,副菜
253,102407,2407,豆腐のカニ玉あんかけ,副菜
254,102409,2409,炒飯,主菜・主食
255,102410,2410,人参しりしり,副菜
256,102423,2423,トマトとちりめんじゃこのオムレツ,主菜・主食
257,102428,2428,あさりとたけのこのパスタ,主菜・主食
258,102536,2536,アボカドと鮭のクリーミーグラタン,主菜・主食
259,102561,2561,豚肉とキャベツの重ね蒸し,主菜・主食
260,102562,2562,しめじとパプリカのマスタード和え,副菜
261,102671,2671,鰻ときゅうりの酢の物,副菜
262,102699,2699,エスニック風串焼き,主菜・主食
263,102701,2701,イタリアングリーンサラダ,副菜
264,102702,2702,ガスパチョ,汁物
265,102704,2704,エビとブロッコリーのヨーグルトサラダ,副菜
266,102705,2705,揚げナスの素麺,主菜・主食
267,102706,2706,トマトの煮びたし,副菜
268,102729,2729,しめじのスープ,汁物
269,102803,2803,かつおのたたきサラダ,副菜
270,102811,2811,豚肉ときのこのオイスター炒め,主菜・主食
271,102848,2848,パクチーともやしのジャージャー麺,主菜・主食
272,102849,2849,アーモンド入りチョップドサラダ,副菜
273,102850,2850,きゅうりの酢の物,副菜
274,102858,2858,イカときのこの梅炒め,主菜・主食
275,102905,2905,ホットプレートでお手軽ビビンバ,主菜・主食
276,102917,2917,マグロのカルパッチョ,副菜
277,102918,2918,鶏むね肉のパプリカビネガー風,主菜・主食
278,102921,2921,牛サーロインのタリアータ・サラダ仕立て,主菜・主食
279,102942,2942,イクラと長芋のサラダ,副菜
280,102943,2943,イクラとスモークサーモンのクリームパスタ,主菜・主食
281,102944,2944,牡蠣とエリンギのガーリックバター,主菜・主食
282,102946,2946,お手軽チーズフォンデュ,主菜・主食
283,102955,2955,人参とピーマンのおかか和え,副菜
284,102956,2956,きゅうりと人参のピーラーサラダ,副菜
285,102962,2962,生姜たれで食べる肉と野菜,主菜・主食
286,102971,2971,さつまいもとクルミのサラダ,副菜
287,102972,2972,さつまいもの吹き寄せ甘酢あん,主菜・主食
288,102990,2990,もやしと豚バラ肉のピリ辛中華炒め,主菜・主食
289,102991,2991,もやしとツナの卵とじ,副菜
290,102992,2992,真鯛のアクアパッツァ,主菜・主食
291,102993,2993,真鯛の簡単昆布じめ風,副菜
292,102998,2998,海老と牡蠣のアヒージョ,主菜・主食
293,102999,2999,舌平目のムニエル椎茸バターソース,主菜・主食
294,103001,3001,サーロインステーキと彩り野菜のグリル,主菜・主食
295,103002,3002,舌平目のコキール,副菜
296,103009,3009,鮭と白菜のとろ～りあんかけ蒸し,主菜・主食
297,103010,3010,タラとたっぷり野菜のレンジ蒸し,主菜・主食
298,103011,3011,タラのチゲ鍋,主菜・主食
299,103012,3012,塩鮭入りじゃがいも餅のあんかけ,副菜
300,103015,3015,ねばねば丼,主菜・主食
301,103025,3025,柔らかふろふき大根,副菜
302,103028,3028,ブリ大根,主菜・主食
303,103041,3041,カブのみぞれ鍋,主菜・主食
304,103047,3047,お餅とツナの肉巻き,主菜・主食
305,103054,3054,みかんとベビーリーフのサラダ,副菜
306,103055,3055,みかんの寒天ゼリー,デザート
307,103056,3056,七草とじゃこの佃煮風,副菜
308,103064,3064,きのこのオイル煮,副菜
309,103066,3066,きのこのオムレツ,副菜
310,103068,3068,じゃがいもとタラのグラタン風,主菜・主食
311,103069,3069,春菊とマッシュルームのサラダ,副菜
312,103073,3073,水菜と人参のナムル,副菜
313,103095,3095,もつの味噌炒め,主菜・主食
314,103096,3096,もつ鍋,主菜・主食
315,103104,3104,ハムとフレッシュ野菜のサラダ,副菜
316,103110,3110,冬野菜と鯛の姿蒸し,主菜・主食
317,103112,3112,おひな様のちらし寿司,主菜・主食
318,103113,3113,はまぐりの潮汁,汁物
319,103119,3119,新玉ねぎとえのきのコンソメスープ,汁物
320,103122,3122,スモークサーモンの簡単ちらし寿司,主菜・主食
321,103149,3149,しらすとピーマンのピリ辛炒め,副菜
